snack_id	name	image	flavor	type_id
24	일본 가루비 잉카노 메자메 황금 감차칩 18g 8봉지	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0579/ae359015dc1bb4a459c35d93f857fb1ff98e254e5f9bb083b72057a2b06d.jpg	달콤한맛	감자과자
25	(미국과자) TGI Friday s 4 oz Cheddar Bacon Potato Skins Chips (3 Bags)	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/89bd/7a5cc61f587f67d77da962e50be447d66f5ef37846674140b329b9a80acd.jpg	달콤한맛	감자과자
26	일본 가루비 포테이토팜 다시마 감자칩 15g 6봉지	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2c8c/7a8225130176811915edcfef11e0867da50d3a7b0e784a23791d8695ae1d.jpg	달콤한맛	감자과자
27	가루비 자가리코 샐러드 사라다 bits4 감자과자 56gx12봉지	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dd47/b4b6f71c7e830341eb92cb3f4f909f9e00ab9058e328156d283ef3d167bd.jpg	달콤한맛	감자과자
28	가루비 감자칩 노리시오 김 소금 과 참기름 맛 포테이토칩 94g 12봉	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0137/ac00a78e34ff8ce6adb0519cda9e622bed98e6b103a0af92dd86661eb2f7.jpg	달콤한맛	감자과자
29	가루비 포테이토칩 빅백 일본 감자 스낵 152g 12봉	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5fbb/c2e71c7589089417eb83cabd5d37bbf79b2b7f7742ac35683a55a11ae78f.jpg	달콤한맛	감자과자
30	가루비 완두콩 스낵 시야엔도 고추맛 60g 12봉지	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f72d/1e4a4696848c8cfa425e6bfb93c2c7d38c49fa7e6449b2efc79620034295.jpg	달콤한맛	감자과자
31	가루비 포테이토칩 58g 4개 딱딱한 감자칩 63g 4개 큐슈간장맛 일본 간식 안주	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6b30/77f417c2c976e8c6b6cea830825592d8bbfa09400b1baa45d88c9a0a4988.jpg	달콤한맛	감자과자
32	가루비 크런치 감자칩 더블 마늘 맛 포테이토칩 60g 12봉지	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c3ca/b6e6525091aaf07ab80fb8747f2977bd5c514df0a8dd3b8d10496d1433d8.jpg	달콤한맛	감자과자
33	(미국과자)미스 비키의 주전자 요리 감자 칩 버라이어티 팩 1.375온스(28개 팩)	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ee08/dc65fe2e4cf6c7eb4c6eb20c5462cb3b42a30c5cc2661ef8f09a580e9cc8.jpg	달콤한맛	감자과자
34	가루비 감자칩 라이트 크리스피 프라이 포테이토 스낵 65g 12봉	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/92f5/cdfa0043e137164c46638b68ac6d3324665acaf633ba398550543d7b104a.jpg	달콤한맛	감자과자
35	가루비 포테이토칩 우스시오 소금맛 GO5PACK 140g 8개	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9314/b77ff69d5c33b9c87188bbebb3e355db5bc4ca2cf931976dedddf16616d1.jpg	달콤한맛	감자과자
36	가루비 미노믹스 miinoMIX 검은콩 캐슈넛 소금 맛 27g 12 봉지	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f13a/021c196a2292a76bfe1a9a6458f4dd826a95582993aa420a9607e3bf787d.jpg	달콤한맛	감자과자
37	Pringles 프링글스 타코야키맛 3개	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9c7c/2df558d649d7db91b08c9fa6c317e5cc7fe6b887e3d69cf2679202d4fe56.jpg	달콤한맛	감자과자
38	Calbee 칼비 가루비 일본 편의점 과자 카타아게 포테이토 매실맛 60g 12봉지 감자칩 스낵	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ac4a/4fb10cf5c652392a3897a8dedaade6c1a005105c6e0845b841f7b5432383.jpg	달콤한맛	감자과자
39	가루비 미노믹스 검은콩 캐슈넛 맛 27g 12봉지	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1b30/e4eb73b511bfe0047e0b128906ed49012e9a25bcd6f0fd75e8774b0dcdda.jpg	달콤한맛	감자과자
40	가루비 자가리코 매운 칠리 오일 치킨 맛 52g 12개 일본 스낵 과자	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/69ed/c04c37d281db8aad2dd566bb560083bc776672379d4d0e25f0bf65286662.jpg	달콤한맛	감자과자
41	가루비 포테이토칩 매콤한 한국산 김 맛 감자칩 58g 12봉	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/acf7/29ddf61499afe6433411c0b1c4529947485d223c0f847a7153d728208406.jpg	달콤한맛	감자과자
42	일본 가루비 자가리코 아스파라거스베이컨맛 / 치즈맛 L사이즈 66g 12개	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/155f/ebce6e8f04e3a89d39de75488f2ca732e8a1485532403e2fe295ef1cc5c4.jpg	달콤한맛	감자과자
43	가루비 그릴드 포테이토 칩 65g 12봉지 일본 과자	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/517c/c61a72e73af8fa0eedeca5ed1627a1c2f55fbf7175591e0f575e03c9019e.jpg	달콤한맛	감자과자
44	가루비 감자 칩 구이 맛 65g x 12봉 일본 과자	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/03fb/59ed72a906eb4e99c4106d4ca309782b619336d14d43c2648ddc0132b167.jpg	달콤한맛	감자과자
45	가루비 포테이토칩 우스시오 옅은소금맛 감자칩 60g 12봉지 일본 스낵 과자	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1c92/a737c3141ec42561f1274a9433d2ddc96eabed01bdc141ffe1d8c19af929.jpg	달콤한맛	감자과자
