이름,이미지,맛,종류
"가루비 핫스파이시 감자칩 55g 24봉지, 기본",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f973/3a2926f44b981baa61667a9823eb62d5c6cf1add7a0b5e303e124877cf61.jpg,달콤한맛,감자과자
"가루비 포테이토 감자칩 단백한 맛 67g 12봉, 기본",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2322/d1962014249336303d1465cbff8e8bc39424065f8421b2a6ff6272b44481.jpeg,달콤한맛,감자과자
"가루비 감자 스낵 스위트 간장 맛 18g 8봉, 기본",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2bc7/f81b670d5ad9495016bd13b100de0c2e1b3898c8b2c9006c78c012e70b56.jpg,달콤한맛,감자과자
"가루비 구운 감자 자가리코 큐슈 간장 맛 52g x 12pcs 일본 과자, 기본",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5d9a/2c3f37e57908e2c14c86840440c060949cf218eb3c1486c172900d29996f.jpg,달콤한맛,감자과자
"가루비 미노믹스 검은콩 캐슈넛 맛 27g 12봉지, 기본",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1b30/e4eb73b511bfe0047e0b128906ed49012e9a25bcd6f0fd75e8774b0dcdda.jpg,달콤한맛,감자과자
"가루비 크런치 감자칩 더블 마늘 맛 포테이토칩 60g 12봉지, 기본",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c3ca/b6e6525091aaf07ab80fb8747f2977bd5c514df0a8dd3b8d10496d1433d8.jpg,달콤한맛,감자과자
"가루비 자가리코 감자칩 으깬 야채 72g 12봉지, 기본",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7639/2cfffa2dca73651e86cbdd70e2688597d4cb2f92d1cd28ac9565fc217d3d.jpg,달콤한맛,감자과자
"일본 가루비 잉카노 메자메 황금 감차칩 18g 8봉지, 4팩",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0579/ae359015dc1bb4a459c35d93f857fb1ff98e254e5f9bb083b72057a2b06d.jpg,달콤한맛,감자과자
"가루비 훈제 스모크 감자칩 25g 3봉지, 기본",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dd4a/84e7fe47e48a5d6d17577ebfbd6bd7d7aadeb2907d82b160a8d748b43197.jpg,달콤한맛,감자과자
"일본 가루비 자가리코 아스파라거스베이컨맛 / 치즈맛 L사이즈 66g 12개, 치즈 맛",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/155f/ebce6e8f04e3a89d39de75488f2ca732e8a1485532403e2fe295ef1cc5c4.jpg,달콤한맛,감자과자
"가루비 감자 스낵 달콤한 맛 61g 12봉지 일본 포테토칩 과자 봄 시즌 한정, 기본",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8501/8634b271dcf588a558fe7ea0fa962344923d7b984f0954bac7086b8b1697.jpg,달콤한맛,감자과자
"가루비 스낵 감자 자가리코 와사비 간장 맛 38g 12봉지, 기본",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1c7f/b4c9da9bf74bbfcfd19152a0fc93b7a6ee8aaa158e0f1cd4c547d563b690.jpg,달콤한맛,감자과자
"가루비 자가비 90g 12봉지 일본 과자 간식 스낵 소금맛 / 버터간장맛, 버터 간장 맛",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b1cf/a65a4bf4aeea7522cfba790e6db3b89e740dee0378437226238036d5c2c7.jpg,달콤한맛,감자과자
"가루비 포테이토칩 매콤한 한국산 김 맛 감자칩 58g 12봉, 기본",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/acf7/29ddf61499afe6433411c0b1c4529947485d223c0f847a7153d728208406.jpg,달콤한맛,감자과자
"일본 가루비 자가리코 아스파라거스베이컨맛 / 치즈맛 L사이즈 66g 12개, 아스파라거스 베이컨 맛",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e293/ac4ad893b8d38f743c4cd5c9af3a9ec65fe6994fc3ec6208ba99daff14d4.jpg,달콤한맛,감자과자
