이름,이미지,맛,종류
"포테토칩 육개장사발면맛, 60g, 16개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/17832485270336-0afbf537-1678-40cf-8743-6aecfe207143.jpg,짭짤한맛,감자과자
"헌터스고메 수제감자칩 화이트트러플앤포르치니 캔, 150g, 1개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qwflry5w/f3f93f1e64e5430f8d5e4df635fb75c9.png,짭짤한맛,감자과자
"프링글스 구운 김맛, 97g, 12개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cbef/b7e2de32666abf87b57d36fd8bf125c22b3769bb51047fcd1c8d557e4710.png,짭짤한맛,감자과자
"레이즈 클래식칩 425.2g, 1개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/07/14/6/eda45403-05c6-4c13-8f10-ad640949c2f6.jpg,짭짤한맛,감자과자
"오리온 눈을감자 스낵, 113g, 20개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5c76/c6967ba1c2c965842ded3dcfd834bcd77a5c3b60e20d86db10d95e7fa79a.jpg,짭짤한맛,감자과자
"해태제과 해태 자가비 짭짤한맛 90gx12세트묶음행사, 90g, 8세트",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b42a/7119b71cabb4d88d5f8cc7719c387bbf2c4efc5ffe884ea7b11b06bbffba.jpg,짭짤한맛,감자과자
"아미카 엘도라다 오리지널 러플 감자칩, 130g, 3개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15028366715235883-6bc92c45-0bb0-4ad5-80ba-909729fa6ba3.jpg,짭짤한맛,감자과자
"무뚝뚝감자칩 통후추 소금맛 과자, 124g, 12개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1593453182743590-db03143a-e6b1-4626-9081-4b17897d4da6.jpg,짭짤한맛,감자과자
"헌터스고메 수제감자칩 블랙트러플앤파마산 캔, 150g, 1개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zmctefin/fa5d2c6f967d4fc99a7e0ac4d2864dcd.png,짭짤한맛,감자과자
"일본 가루비 포테이토팜 훈제 스모크 감자칩 25g 3봉지, 4팩",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f3ba/cb8d9e40c395a942be6ac3c0873d134db4b54d1422fc925004bb4fd4839a.jpg,짭짤한맛,감자과자
"헌터스 블랙트러플 포테이토칩, 250g, 1개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/427881100006173-776c1aa1-ccbd-41a0-81fb-b9a82c230eb3.jpg,짭짤한맛,감자과자
"예감 오리온 치즈그라탕, 10개, 64g",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f62f/daf52cd31d06f39e9cfb5521f504e6539c6d504c27cba64a5b226ce1fd90.jpg,짭짤한맛,감자과자
"예감 치즈그라탕, 204g, 1개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bd4c/65c69e6122aa43e0efa266c20e68a20555abc60bf333713427a8685e21d0.jpg,짭짤한맛,감자과자
"무뚝뚝감자칩 통후추 소금맛 과자, 124g, 1개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/429b/a29be28ed0bda8820ca912f49e0dbe2b409b568170c26c220350efb70be8.JPG,짭짤한맛,감자과자
"오리온 눈을감자 스낵, 113g, 1개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e651/b449a3fda08ff4453030776ef56ef4510a85528c35f372b94601330f988b.jpg,짭짤한맛,감자과자
"프링글스 치즈맛, 110g, 3개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/530b/fe5410fd9336e3011027f0e9418a972bf8d4252c21288d42f384a34da9d5.jpg,짭짤한맛,감자과자
"해태제과 자가비 짭짤한맛 스낵 파우치, 45g, 12개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9105068642143124-4e31b04a-57bf-4f67-a78d-1b5c723e7c2f.jpg,짭짤한맛,감자과자
"Lay's 레이즈 클래식 포테이토 칩 개별포장 1oz(28.3g) 50개입 Classic Potato Chips, 28.3g",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4b5b/171be91c56f4a75c65d9853b3386fbd9fe574c6a5c2460dc65fe30387d00.jpg,짭짤한맛,감자과자
"예감 치즈그라탕, 64g, 20개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f705/089df158cec0217c35255b22f35259f34c3c07963d0b5fa803c824a5e925.jpg,짭짤한맛,감자과자
"오리온 눈을감자, 56g, 6개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/12/28/13/3/a17245da-f150-449d-a456-385aba767a0b.jpg,짭짤한맛,감자과자
"오리온 포카칩 오리지날 110g, 12개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ff49/fb8b6ff3bc9c49b1bd6e1fdb1e91dade0176a4ef5b153d88b0c5591e4417.jpg,짭짤한맛,감자과자
"가루비 카타아게 감자칩 블랙페퍼 65g 12봉지 일본수입과자 주전부리 간식 혼술안주, 블랙 페퍼",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2135/5659c22ee2cb180e14f0601ef72b0b1ddad2b0f6ff6fdea68a6d05753f6d.jpg,짭짤한맛,감자과자
"헌터스고메 수제감자칩 블랙트러플, 125g, 1개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dbe9/0989a963950c91a0c8731b554e1afbf0b3c2b5d32dc354c411b5c9aa6c12.png,짭짤한맛,감자과자
"오리온 예감 오리지날 2p, 64g, 5개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/23/10/9/e2644395-b621-4ace-9805-ebcc57525fc7.jpg,짭짤한맛,감자과자
"일본 칼비 감자칩 콘소메펀치 우스시오맛 버터 대용량 152g, 콘소메 펀치맛",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2e83/38ef6c042ccb8f01b0aaf2abdce3776fa804f9bd2e7e49702091feece727.jpg,짭짤한맛,감자과자
"일본 칼비 감자칩 콘소메펀치 우스시오맛 버터 대용량 152g, 어서 버터",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c575/0e03f2626d326c1fcbeca7a945891b50ea66715706e2be1db3a015b73b6b.jpg,짭짤한맛,감자과자
"일본 가루비 포테이토팜 자가포쿠루 감자칩 18g 6봉지, 4팩",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/847d/bfd91c75abe4d916e2aefe32d94797154a7f4d630929dad914ee589ed002.jpg,짭짤한맛,감자과자
"오리온 포카칩 오리지널 지퍼백, 229g, 6개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9e00/b8fbb4014f3c32730c16b6eb0eebf143e18944114e979f841be9d18f555c.jpg,짭짤한맛,감자과자
"농심 포스틱 지퍼 과자 대, 280g, 8개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6748321870554815-d292e647-65be-497a-8302-646535f1585b.jpg,고소한맛,감자과자
"빙그레 99칼로리칩 버터솔트, 30g, 20개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2899549267745405-3cee7b94-fecb-4659-b6b4-75bf4d76125b.png,고소한맛,감자과자
"빙그레 99칼로리칩 오리지널, 30g, 20개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2011973966455552-48e00aa0-6e89-4eb9-93f5-c6757e3cefee.jpg,고소한맛,감자과자
"보닐라 아 라 비스타 감자칩, 500g, 1개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/27ac/7c393cd2fc773cde1e4057823eeb7d017e1c8ea38685b7bb2f05f14f3dfc.jpg,고소한맛,감자과자
달곰삼삼 글루텐프리 맥주안주 아이간식 감자스틱 국내산 고소한 감자맛 과자 대용량 140g,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ef94/9b002ad965b78a6caede1386f929b57a035a19d98229098db8410f91bf5d.jpg,고소한맛,감자과자
"빙그레 99칼로리칩 버터솔트, 30g, 10개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/11/18/4/24524ddd-75f9-4c19-ae97-957ae178c298.jpg,고소한맛,감자과자
"[쿠팡수입] 포테이토 크리스프 스낵 스위트콘맛, 20g, 100개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1935305178521897-59ad4ed0-d40b-44a4-a61a-230aeae8f1ce.jpg,고소한맛,감자과자
"빙그레 99칼로리칩 오리지널, 30g, 10개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/11/18/1/5dd60688-e761-45ff-85f5-3b19fa8e51eb.jpg,고소한맛,감자과자
"보닐라아라비스타 감자칩, 275g, 1개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c333/17232f0f3fdd5283dc01fc43a43f6e5404e27e80198dcbf07b30065c49df.jpg,고소한맛,감자과자
"빙그레 99칼로리칩 버터솔트, 30g, 10개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/11/18/4/24524ddd-75f9-4c19-ae97-957ae178c298.jpg,고소한맛,감자과자
"[쿠팡수입] 포테이토 크리스프 스낵 스위트콘맛, 20g, 100개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1935305178521897-59ad4ed0-d40b-44a4-a61a-230aeae8f1ce.jpg,고소한맛,감자과자
"오리온 포카칩 오리지날, 66g, 5개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a859/e9c9cee5015c7109cbca39eb54c044f3a3aecdb3a3344e526d56c4739898.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 12개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6f86/19d4e8cf3b8c7a5bd8c5d99413aec71b8e88e182892515be09a4c17ab1e7.jpg,고소한맛,감자과자
"해태제과 구운감자, 27g, 12개입",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2017/02/15/3012793384/c6806d5f-4e33-4f44-a918-c7c2ac494bad.jpg,고소한맛,감자과자
"빙그레 99칼로리칩 버터솔트, 30g, 40개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/03ffe7e0-cdc8-45c0-8ff0-4ba623f0d7cf1793097746792973177.png,고소한맛,감자과자
"오리온 포카칩 오리지날 38g x 4개 (4번들), 3개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8033/c87799a857f01b4a8fb25c9bb6419aa0feafc51223091166d857aa8631d4.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 8개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cf82/1cae79dfa62a633e7cb366413b49a68b6d02806976bd9935d3de6cf33dff.JPG,고소한맛,감자과자
"오리온 포카칩 오리지날 38g x 4개 (4번들), 1개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8b00/05f712952185ef8b5a00aa25a14d9e5cbdb11fa8d5e477d46ca20e72e91d.jpg,고소한맛,감자과자
"농심 포스틱(지퍼대)270gX8개입(1박스), 270g, 1",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c9aa/0d2e36c261b0bd36562627cb2d9851fe6223c8badbd34a32504a337614be.jpg,고소한맛,감자과자
"순 감자 고소한 감자맛, 150g, 3개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b47c/6cd25a157cf52bb20e1cb6ea9ed200b8f7b828a1587971b5a4b8ec93e83a.jpg,고소한맛,감자과자
"[두레에프엔이] /강원도 강냉이160g/국내산강냉이/옥수수/간식/뻥튀기/친환경/유기농설탕함류/, 160g, 1개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/00ec/ff372be7c6747b0c1be1efdad4c6ddc29a07ac2e768a8ced5f8dfad19ed6.jpg,고소한맛,감자과자
"곡물그대로 21곡 500g, 1Ea",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b120/0564f0d584b925a8190fe3f9e83a876c3a46011f3bdb0038c8962d1043fb.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 1개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9529/96eafc0bb21af71dcd7b97b361e96ec0f36e0e3e59beda233e8741f4a3fe.jpg,고소한맛,감자과자
"프링글스 버터 카라멜, 110g, 2개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2748/98df479fd58fc678c132df2a59ddd28b46390821a1af49c704b1bb8546b0.jpg,고소한맛,감자과자
"해태제과 구운감자, 25개, 27g",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/581a/3aeb1c6789722371131caf3873bbbaa5c61a81b9c299658db6ad9c838401.png,고소한맛,감자과자
"해태제과 구운감자슬림 12p, 240g, 1개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/09/01/15/6/fd9862e0-e52f-483f-b1da-ccee3119495c.jpg,고소한맛,감자과자
"오리온 예감 8팩 대용량 감자과자, 치즈그라탕",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1eb1/bbe58bfeeac7b8da168664fc737cf65d216472bf6abb09ab632f7ee7283c.jpg,고소한맛,감자과자
"오리온 포카칩 오리지날 38g x 4개 (4번들), 2개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6533/c5b32ac438a5ae8a23d829d48156729e6b36ed4ad3fb520e0cdcfadb4886.jpg,고소한맛,감자과자
신콩칩 휴게소 돼지감자과자 카사바칩 스낵 건강과자 3봉지 세트,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1b2f/bc8abdc984fb6871dbd6612d7bd27deca42ee0d0951e1e544cd46eb2919a.jpeg,고소한맛,감자과자
"해태제과 구운감자, 25개, 27g",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6613/9bbf210552e3487087aad7bffabcbe970710c0ab89e223636f14019fd485.png,고소한맛,감자과자
"카사바칩 오리지널 120g 3봉지, 120g x 3봉지",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1003/12410fa81d8085bcf91e14d8b47aa1cf35635d8525b44078585929d2a379.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 14개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cf82/1cae79dfa62a633e7cb366413b49a68b6d02806976bd9935d3de6cf33dff.JPG,고소한맛,감자과자
"해태제과 구운감자, 25개, 27g",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/727d/a66bfab1aca6468d81ad4fe78db8f5ebf65cab5db54d87f0d372ca9e4095.PNG,고소한맛,감자과자
"해태제과 구운감자, 108g, 2개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9529/96eafc0bb21af71dcd7b97b361e96ec0f36e0e3e59beda233e8741f4a3fe.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 24개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6f86/19d4e8cf3b8c7a5bd8c5d99413aec71b8e88e182892515be09a4c17ab1e7.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 3개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/182c/0ce3b666b1ee8a0182ac832a7fb206b0e09817250cb50f2affa407a85fab.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 15개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cf82/1cae79dfa62a633e7cb366413b49a68b6d02806976bd9935d3de6cf33dff.JPG,고소한맛,감자과자
"해태제과 구운감자, 108g, 11개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cf82/1cae79dfa62a633e7cb366413b49a68b6d02806976bd9935d3de6cf33dff.JPG,고소한맛,감자과자
"해태제과 구운감자, 108g, 20개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/470b/d20ecaa26ed69e08d49f1139c77daab845d857caefde14b938a201cebb8f.png,고소한맛,감자과자
"해태제과 구운감자, 25개, 27g",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9f6b/d7e704d5b4a497578ae2f978c210824f1338493a1531c8d02b68bed33c57.PNG,고소한맛,감자과자
"해태제과 구운감자, 108g, 16개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c735/69e7eff79838ecedd25e1540c36390358af878eb8df827e0a98ef41e772a.JPG,고소한맛,감자과자
"해태제과 구운감자, 108g, 5개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cf82/1cae79dfa62a633e7cb366413b49a68b6d02806976bd9935d3de6cf33dff.JPG,고소한맛,감자과자
"해태제과 구운감자, 108g, 30개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6923/853b36e3ac5b968fe17aa5af188828376fde5f1d64aa8fc241e40e39dc57.png,고소한맛,감자과자
"해태제과 구운감자, 108g, 28개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/470b/d20ecaa26ed69e08d49f1139c77daab845d857caefde14b938a201cebb8f.png,고소한맛,감자과자
"해태제과 구운감자, 108g, 32개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/470b/d20ecaa26ed69e08d49f1139c77daab845d857caefde14b938a201cebb8f.png,고소한맛,감자과자
"해태제과 구운감자, 108g, 70개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6923/853b36e3ac5b968fe17aa5af188828376fde5f1d64aa8fc241e40e39dc57.png,고소한맛,감자과자
"해태제과 구운감자, 108g, 40개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a531/5b74cbac1da437e5a774cf8ec4f06f212cd9ca9eb0d67a7249205d35f749.JPG,고소한맛,감자과자
"해태제과 구운감자, 108g, 300개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9952/13bf99763352192c15aaf53fafdd1e7593595bb96632dbf8f32bee1e5148.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 600개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9952/13bf99763352192c15aaf53fafdd1e7593595bb96632dbf8f32bee1e5148.jpg,고소한맛,감자과자
"켈로그 프링글스 버터카라멜, 110g, 18개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9c2331a1-76d2-4865-8c8d-96f182d6fd766398211366685679211.png,고소한맛,감자과자
"켈로그 프링글스 버터카라멜, 110g, 9개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2458b04d-b3aa-4309-8cfe-f52929b4d0b11252098508873107182.png,고소한맛,감자과자
"해태제과 구운감자 슬림, 240g, 2개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/01/12/17/4/613c0051-2683-4257-ab80-e59f00b62b15.jpg,고소한맛,감자과자
"켈로그 프링글스 버터카라멜, 110g, 15개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/c9a642f1-de1a-4a1d-827e-6bc16a3624f98159829746814101888.png,고소한맛,감자과자
"프링글스 버터카라멜, 110g, 3개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/04/14/4/94d37129-dd3c-4b71-8360-74dc82faa410.jpg,고소한맛,감자과자
"켈로그 프링글스 버터카라멜, 110g, 6개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5778a050-a951-4dcf-b7f7-7dfef4653bc18340570107358908899.png,고소한맛,감자과자
"오감자 오리온 그라탕 지퍼백 감자스낵, 257g, 2개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0asugpuv/d15ff293fc874bdd9448db2f309ee3c3.jpg,고소한맛,감자과자
"빙그레 99칼로리칩 오리지널, 30g, 10개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/11/18/1/5dd60688-e761-45ff-85f5-3b19fa8e51eb.jpg,고소한맛,감자과자
"판판 포테이토칩 오리지날, 35g, 24개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/251181861063702-efc3a9c6-0aba-49ff-8d7f-60143a3fdf53.jpg,고소한맛,감자과자
"해태 빠삭한 치즈감자, 16개, 60g",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b73f/ac2a033b0f44db5993f4c2958fdaf7376649c5b896b461f3b4ba0d106d02.jpg,고소한맛,감자과자
"해태제과 구운감자, 108g, 15개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cd18/07cef3d833b4964ce3aa7df0c15caf1d975dc4d97be2c3f01464a612a344.jpg,고소한맛,감자과자
"프링글스 스파이시 할라피뇨파퍼맛, 12개, 110g",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xjt0upfu/33478dd30ee5456581e6f2e23859f4f4.jpg,매콤한맛,감자과자
"스윙칩 볶음고추장맛, 60g, 1개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8def/0018c10ae4d15f630ecdc2e6ef0b82ec05ff71abf7096748dce58d439de4.jpg,매콤한맛,감자과자
[미국직배송]레이스 케틀 쿡 할라피뇨 감자칩 대용량 382.7g Lay's Kettle Cooked Potato Chips Jalapeno Party,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ec61/36825f9855e976238338db70a4232f7ab8d19281caafc6e7da80b94002f6.jpg,매콤한맛,감자과자
"제주농연 감자알칩 매콤한 볶음 고추장맛, 27g, 40개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/36ae/2ba1834d09eafed0dbc22461f7d1b821c9da37a97aad287b1cb474a900a6.jpg,매콤한맛,감자과자
"스윙칩 핫 볶음고추장맛, 124g, 3개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0d08/d2776a2d176b398931406afd58aa45ea68b516cbfd6eb74abbb85e5e2d49.JPG,매콤한맛,감자과자
"본아미 감자칩 매운맛, 68g, 12개입",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cd5c/6e95d39ebfe0bddd9d8697897d118a207c41c6026c59a64233aad0b20d89.jpg,매콤한맛,감자과자
"오리온 스윙칩 볶음고추장맛, 60g, 12개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/11/16/3077889280/b6de5457-f268-4b94-8dfc-b00bd328c15d.jpg,매콤한맛,감자과자
"스윙칩 핫 볶음고추장맛, 124g, 1개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2016/03/10/5/6/d20f9c35-4c7f-43c3-b5c5-0477f8d90437.jpg,매콤한맛,감자과자
"켈로그 프링글스 매운맛, 110g, 10개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/135f/d184ffecfe1fec0025928e7c98cd1f92c50d6a1ec63a28eb81d3e8152c4b.jpg,매콤한맛,감자과자
"오리온 스윙칩 볶음고추장맛M(60g) x 6개, 60g",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a496/c7c4fa69a8101afb679ee75dc82adef3f63079892fe0100b2b937c9bbc69.jpg,매콤한맛,감자과자
"프링글스 스파이시 갈릭새우맛, 12개, 110g",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a0f9/93d465ea52bbf97595b0d770053824adb33a6b5a20b53aee216dca23fc6b.jpg,매콤한맛,감자과자
"켈로그 프링글스 매운맛, 110g, 22개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6e9d/033db6dc34f6b4d189b8b7d1025b27d1b272d5da9a756a87ec1599773a32.jpg,매콤한맛,감자과자
"프링글스 핫 앤 스파이시, 110g, 3개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/855b/b97b5ba9366ddcc1e25d37f16916b1b3cc61855bb8c7f052b3fd234f7e1f.jpg,매콤한맛,감자과자
"켈로그 프링글스 매운맛, 110g, 16개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1dc9/c629e42a8f8c4e772698920f952d2a619e19a48665d8c4fb85208b6d2425.jpg,매콤한맛,감자과자
"제주농연 감자알칩 매운 볶음 고추장맛, 14g, 80개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c9cf/05a02e814e633633e29a3592909b7ff86a9dd32755674d9789db93aad8ba.png,매콤한맛,감자과자
"스윙칩 핫 볶음고추장맛, 124g, 6개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0c1c/ece873c306921fa539fa11ab11712d2e234682c989e69b3b5bc6df27fd9f.png,매콤한맛,감자과자
"감자알칩 110g x 12봉지 1박스, 12개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c1a5/ed6918aad6b3db2fd6ad62eb6cabf999512602cc914f7f9581568681c80c.jpg,매콤한맛,감자과자
"켈로그 프링글스 매운맛, 110g, 11개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/135f/d184ffecfe1fec0025928e7c98cd1f92c50d6a1ec63a28eb81d3e8152c4b.jpg,매콤한맛,감자과자
"켈로그 프링글스 매운맛, 110g, 7개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/135f/d184ffecfe1fec0025928e7c98cd1f92c50d6a1ec63a28eb81d3e8152c4b.jpg,매콤한맛,감자과자
"켈로그 프링글스 매운맛, 110g, 19개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ec63/d2a7c65ad68c550bf8f81ef369da9fef3d4f363791e76061bc7c7bd33d56.png,매콤한맛,감자과자
"켈로그 프링글스 매운맛, 110g, 9개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/135f/d184ffecfe1fec0025928e7c98cd1f92c50d6a1ec63a28eb81d3e8152c4b.jpg,매콤한맛,감자과자
